,userID,index,visitByTheHour,weekOfYear,weekOfYear,dayOfWeek,cluster
0,34,0,6,40,40,0,2
1,145,1,22,42,42,3,2
2,195,2,12,52,52,3,2
3,16,3,19,46,46,1,2
4,65,4,4,48,48,2,2
5,30,5,17,50,50,3,2
6,126,6,22,48,48,5,2
7,194,7,19,41,41,0,2
8,115,8,9,41,41,1,2
9,120,9,12,42,42,0,2
10,166,10,10,40,40,4,2
11,97,11,21,44,44,1,2
12,53,12,20,46,46,3,2
13,24,13,23,46,46,3,2
14,124,14,19,47,47,3,2
15,7,15,1,41,41,0,2
16,99,16,3,48,48,6,2
17,110,17,1,47,47,0,2
18,155,18,19,45,45,1,2
19,195,19,23,52,52,1,2
20,196,20,0,43,43,0,2
21,0,21,7,50,50,5,2
22,178,22,22,43,43,2,2
23,114,23,11,41,41,4,2
24,68,24,18,44,44,0,2
25,184,25,21,49,49,5,2
26,58,26,12,48,48,4,2
27,151,27,14,43,43,1,2
28,26,28,14,46,46,0,2
29,81,29,15,45,45,1,2
30,7,30,12,42,42,1,2
31,5,31,7,44,44,5,2
32,6,32,9,51,51,1,2
33,166,33,0,40,40,3,2
34,138,34,2,49,49,5,2
35,2,35,2,44,44,0,2
36,97,36,19,49,49,2,2
37,175,37,10,42,42,4,2
38,55,38,15,42,42,5,2
39,108,39,3,47,47,3,2
40,185,40,12,50,50,6,2
41,7,41,5,46,46,6,2
42,135,42,14,51,51,4,2
43,56,43,6,52,52,1,2
44,195,44,15,43,43,3,2
45,112,45,20,50,50,6,2
46,126,46,7,42,42,2,2
47,141,47,23,50,50,2,2
48,59,48,3,45,45,1,2
49,88,49,12,45,45,2,2
50,59,50,11,42,42,2,2
51,173,51,23,47,47,4,2
52,56,52,22,52,52,6,2
53,194,53,14,46,46,6,2
54,117,54,3,48,48,0,2
55,74,55,16,42,42,0,2
56,5,56,17,47,47,2,2
57,106,57,22,41,41,5,2
58,142,58,2,41,41,5,2
59,164,59,13,42,42,0,2
60,25,60,21,46,46,1,2
61,47,61,23,48,48,3,2
62,161,62,4,52,52,2,2
63,185,63,6,50,50,1,2
64,75,64,12,43,43,6,2
65,30,65,1,48,48,2,2
66,190,66,2,48,48,4,2
67,85,67,22,44,44,3,2
68,184,68,10,51,51,0,2
69,182,69,20,45,45,5,2
70,128,70,8,48,48,0,2
71,108,71,22,47,47,1,2
72,129,72,10,52,52,1,2
73,171,73,10,50,50,2,2
74,48,74,13,45,45,5,2
75,77,75,12,49,49,6,2
76,72,76,5,40,40,5,2
77,150,77,7,50,50,2,2
78,127,78,10,43,43,0,2
79,129,79,15,47,47,3,2
80,100,80,4,46,46,5,2
81,150,81,3,41,41,6,2
82,8,82,1,44,44,3,2
83,122,83,23,50,50,1,2
84,62,84,22,46,46,3,2
85,190,85,22,40,40,6,2
86,103,86,22,40,40,5,2
87,106,87,6,44,44,5,2
88,170,88,3,42,42,6,2
89,44,89,14,51,51,2,2
90,93,90,12,50,50,0,2
91,140,91,13,46,46,4,2
92,179,92,17,49,49,0,2
93,198,93,14,49,49,3,2
94,172,94,4,48,48,2,2
95,188,95,17,42,42,6,2
96,95,96,0,50,50,2,2
97,22,97,17,45,45,3,2
98,112,98,9,41,41,2,2
99,169,99,7,47,47,4,2
100,130,100,0,46,46,6,2
101,27,101,15,43,43,3,2
102,199,102,13,40,40,1,2
103,41,103,8,52,52,1,2
104,133,104,1,46,46,5,2
105,100,105,0,48,48,3,2
106,94,106,23,41,41,3,2
107,125,107,6,46,46,5,2
108,187,108,14,46,46,5,2
109,7,109,12,51,51,0,2
110,120,110,1,0,0,4,2
111,11,111,12,48,48,1,2
112,78,112,23,43,43,6,2
113,180,113,6,46,46,3,2
114,157,114,3,44,44,2,2
115,151,115,11,50,50,5,2
116,148,116,14,48,48,1,2
117,100,117,21,47,47,5,2
118,165,118,16,47,47,6,2
119,43,119,7,49,49,2,2
120,43,120,10,49,49,4,2
121,128,121,5,51,51,4,2
122,58,122,5,41,41,3,2
123,3,123,22,42,42,1,2
124,197,124,9,46,46,1,2
125,51,125,6,51,51,6,2
126,138,126,6,50,50,4,2
127,140,127,22,45,45,4,2
128,59,128,10,39,39,4,2
129,103,129,22,40,40,3,2
130,131,130,14,50,50,6,2
131,88,131,14,45,45,5,2
132,147,132,15,42,42,2,2
133,90,133,23,45,45,1,2
134,117,134,13,46,46,3,2
135,68,135,14,48,48,1,2
136,168,136,4,40,40,4,2
137,140,137,8,49,49,3,2
138,155,138,20,41,41,2,2
139,186,139,14,42,42,5,2
140,1,140,13,49,49,5,2
141,98,141,2,47,47,4,2
142,200,142,18,40,40,1,2
143,189,143,20,47,47,0,2
144,131,144,1,52,52,3,2
145,33,145,19,44,44,2,2
146,132,146,2,39,39,5,2
147,199,147,20,40,40,1,2
148,143,148,16,51,51,1,2
149,52,149,11,48,48,2,2
150,109,150,8,50,50,5,2
151,14,151,18,41,41,3,2
152,123,152,0,49,49,5,2
153,93,153,21,48,48,0,2
154,145,154,20,45,45,4,2
155,141,155,18,41,41,2,2
156,51,156,3,50,50,5,2
157,129,157,3,41,41,0,2
158,105,158,19,41,41,2,2
159,124,159,11,44,44,3,2
160,91,160,15,45,45,2,2
161,106,161,1,47,47,6,2
162,88,162,7,44,44,6,2
163,0,163,22,40,40,3,2
164,137,164,13,47,47,4,2
165,138,165,1,48,48,1,2
166,159,166,13,45,45,0,2
167,156,167,22,43,43,6,2
168,84,168,0,0,0,4,2
169,117,169,22,43,43,4,2
170,153,170,2,50,50,6,2
171,7,171,5,47,47,3,2
172,58,172,13,40,40,2,2
173,162,173,16,52,52,1,2
174,45,174,20,42,42,1,2
175,140,175,23,40,40,2,2
176,149,176,20,42,42,5,2
177,46,177,11,42,42,6,2
178,23,178,5,40,40,4,2
179,141,179,5,48,48,1,2
180,65,180,5,47,47,5,2
181,8,181,22,41,41,0,2
182,172,182,13,46,46,4,2
183,18,183,20,42,42,1,2
184,21,184,6,45,45,0,2
185,4,185,21,47,47,6,2
186,115,186,12,51,51,0,2
187,3,187,2,47,47,4,2
188,193,188,19,40,40,2,2
189,193,189,19,44,44,4,2
190,71,190,18,50,50,4,2
191,63,191,16,50,50,2,2
192,68,192,22,49,49,1,2
193,28,193,1,41,41,1,2
194,159,194,22,42,42,4,2
195,47,195,7,41,41,1,2
196,88,196,7,48,48,3,2
197,74,197,0,0,0,4,2
198,17,198,16,51,51,5,2
199,42,199,21,43,43,0,2
200,40,200,6,41,41,1,2
201,65,201,6,45,45,5,2
202,135,202,11,50,50,1,2
203,43,203,10,45,45,5,2
204,168,204,13,52,52,3,2
205,69,205,11,49,49,6,2
206,165,206,15,49,49,0,2
207,182,207,20,48,48,4,2
208,75,208,12,42,42,5,2
209,116,209,22,43,43,0,2
210,179,210,10,44,44,0,2
211,82,211,11,46,46,0,2
212,127,212,4,50,50,1,2
213,121,213,19,51,51,4,2
214,29,214,20,44,44,6,2
215,6,215,19,49,49,3,2
216,79,216,14,40,40,2,2
